,Centroid_name,pref_o_shared_interests,pref_o_intelligence,pref_o_sincere,pref_o_ambitious,pref_o_funny,pref_o_attractive,ambtition_important,shared_interests_important,interests_correlate,d_age,attractive_important,sincere_important,intellicence_important,funny_important,ambition_partner,funny_o,intelligence_o,ambitous_o,sinsere_o,attractive_o,funny_partner,intelligence_partner,sincere_partner,attractive_partner,Instances,Minimum intercentroid distance,Mean intercentroid distance,Maximum intercentroid distance,Distance sum squares,Distance standard deviation,Distance sum,Distance median,Distance maximum,Distance minimum,Distance variance,Distance mean,match
0,Global,11.81458,20.37818,17.2459,10.54999,17.41963,22.68374,10.704,11.78225,0.19733,4.13843,22.34385,17.41416,20.40721,17.49377,6.78931,6.43799,7.36841,6.79736,7.1637,6.19761,6.41699,7.34045,7.16199,6.18481,8378,,,,1664.0163,0.12361,3587.31068,0.40861,1.21115,0.12695,0.01528,0.42818,0.0
1,Cluster 00,11.97704,20.24678,17.0641,12.90622,18.37562,19.37343,12.06512,11.23035,0.22657,3.40047,20.05196,17.90567,20.14226,18.56572,8.04468,7.76677,8.31183,7.79797,8.23281,7.20779,8.07308,8.55973,8.47281,7.57139,1472,0.2273916549959662,0.37776273198045,0.5271201895444758,176.89116,0.0827,495.55359,0.32739,0.71215,0.16112,0.00684,0.33665,0.0693717277486911
2,Cluster 01,12.06541,21.73478,18.20063,11.31049,17.49226,19.20908,3.83413,6.1089,0.11201,3.45966,54.82405,9.37555,11.90115,14.25776,6.96014,6.91426,7.51796,7.267,7.35639,6.71536,6.86139,èþë.08,7.39512,èþí.23,578,0.3730559711259263,0.442093544544084,0.5279611352491937,108.52049,0.09477,244.39584,0.40884,0.76558,0.19098,0.00898,0.42283,0.1976470588235294
3,Cluster 02,5.82282,22.21651,23.87854,5.07007,17.76005,25.2168,íîÿ.11,12.64567,0.25811,3.41384,17.97996,19.503,20.27351,17.92468,6.73525,7.17132,7.92307,7.13965,7.87196,6.93342,6.15226,èþë.74,7.1322,5.80287,722,0.2190255386414641,0.3411281593566474,0.4630864612873825,98.80818,0.0811,260.60643,0.3533,0.65466,0.18323,0.00658,0.36095,0.3836065573770492
4,Cluster 03,15.04814,19.78551,17.6161,13.22391,16.88394,17.58034,12.53343,14.16754,0.22742,3.55227,17.89392,18.75017,19.45979,17.40179,6.58239,6.52511,7.57411,7.03671,7.37599,6.18432,6.08476,7.19536,7.04093,5.72712,1807,0.2190255386414641,0.3203494631718493,0.4523041938502916,188.33842,0.07769,566.2427,0.30516,0.76179,0.11497,0.00604,0.31336,0.048824593128390596
5,Cluster 04,11.75379,23.0083,17.99329,8.40453,17.23462,21.67318,7.25974,9.35159,0.27757,4.00097,23.03381,13.72371,34.91903,11.75255,6.59839,6.05062,7.45299,6.71316,7.00285,6.12783,6.05402,7.22296,6.88918,6.0727,481,0.2818150591659348,0.3733150892446817,0.4951026174356606,81.38052,0.08894,193.17767,0.39196,0.78311,0.21651,0.00791,0.40162,0.2546816479400749
6,Cluster 05,5.64179,13.79687,7.98621,3.20296,22.90098,47.00059,10.93431,14.33167,0.13492,3.61818,18.07476,19.67499,20.5603,16.48865,6.69487,5.64952,6.87813,6.151,6.76862,5.23359,6.53964,7.06951,6.79683,6.65883,352,0.3091146952686173,0.4014125627692336,0.5247342844631517,65.50877,0.09417,148.20063,0.40695,0.68906,0.21795,0.00887,0.42102,0.11583769633507854
7,Cluster 06,6.47248,12.90305,7.77379,4.68085,8.67724,59.81835,11.06802,10.52728,0.09487,3.15556,21.57776,16.82138,21.17819,18.9137,7.50401,èþë.54,7.99237,7.48956,èþë.67,7.05038,7.11501,7.69049,7.55881,6.76546,326,0.3091146952686173,0.4651591533756313,0.5733365782298065,57.0466,0.09495,132.82287,0.39033,0.7033,0.19284,0.00902,0.40743,0.23809523809523808
8,Cluster 07,12.15544,20.98572,17.66001,11.19568,18.28968,19.75391,11.25495,12.34274,0.18559,3.70101,20.70115,18.88682,19.44799,17.47757,7.48031,4.48605,5.87583,5.18425,5.58956,4.48385,7.06011,8.0121,7.84805,6.97318,1063,0.2492108799229004,0.3671197858181882,0.4894596559623045,148.34309,0.08817,385.89186,0.35173,0.75577,0.15872,0.00777,0.36302,0.09308510638297872
9,Cluster 08,11.59375,19.57249,17.60789,9.34053,18.99138,23.13992,8.73389,11.23019,0.18311,24.99761,23.47716,17.83846,19.66551,19.21766,7.00106,èþí.25,7.55133,7.03803,7.49202,6.72527,6.87686,7.59335,7.50745,6.82301,231,0.4523041938502916,0.507906452641518,0.5733758419876965,34.31892,0.12338,84.37348,0.34518,0.73074,0.10191,0.01522,0.36525,0.2253012048192771
10,Cluster 09,11.99169,23.72557,16.95504,9.65081,16.533,21.45129,9.61802,11.94809,0.15823,3.74248,21.57121,17.96841,21.20151,17.8341,5.32476,4.02124,5.08398,4.63337,4.74769,4.19381,4.67998,5.75667,5.40485,4.79575,604,0.2853193967244109,0.4322099307264984,0.5733758419876965,107.39598,0.10115,247.26687,0.39582,0.99427,0.21595,0.01023,0.40938,0.16740088105726872
11,Cluster 10,13.08324,19.81167,18.33623,11.66817,17.06487,20.26364,9.61542,10.86782,0.13095,3.95423,23.49801,15.85269,20.69964,19.82762,4.51084,6.78706,7.65582,7.22285,7.49522,èþí.14,3.90685,5.25542,4.93502,4.01964,742,0.259970240249231,0.3989416921717095,0.5219509905402299,120.9551,0.09828,290.58298,0.37878,0.83675,0.19684,0.00966,0.39162,0.014519056261343012
